# VARIANTS IMPORT TEMPLATE - USER GUIDE
#
# ATTRIBUTES FORMAT (Column 10):
# NEW FORMAT: color:label:code|variable_name:value|variable_name:value
# 
# Color Format:
#   - With code: color:blue:#0000FF
#   - Without code: color:blue (code will be auto-generated from color name)
# 
# Variable Format:
#   - size:S|material:cotton|pattern:solid
# 
# Complete Examples:
#   - color:black:#000000|size:S|material:cotton|pattern:solid
#   - color:red|size:M|material:cotton (red color code auto-generated)
#   - size:S|material:cotton (no color, only variables)
#   - color:blue:#0000FF (only color, no variables)
# 
# Note: If "color" is specified, it will be stored in the "color" object with label and code.
#       All other attributes will be stored in the "variable" object.
# 
# HIGHLIGHTS DETAILS FORMAT (Column 16):
# Use: Heading1>>point1|point2|point3##Heading2>>point1|point2
# Example: Key Features>>Premium quality|Comfortable fit|Durable material##Care Instructions>>Machine wash cold|Do not bleach
#
# Symbols explained:
# >> separates heading from bullet points
# |  separates individual bullet points  
# ## separates different sections/headings
#
# MEASUREMENTS FORMAT (Column 18):
# Format: attribute_name:value:unit_symbol|attribute_name:value:unit_symbol
# Example: chest size:26:in|collar:10:in|sleeve length:32:in
#
# Notes:
# - attribute_name: The name of the measurement (e.g., "chest size", "collar", "sleeve length")
# - value: Numeric value of the measurement
# - unit_symbol: Symbol of the unit (e.g., "in" for inches, "cm" for centimeters, "kg" for kilograms)
# - Unit details (unit_id, unit_name, unit_type) will be automatically fetched from the units table
# - attribute_id will be set to null (not required in import)
# - Multiple measurements separated by |
#  
# Image paths can be: 
#   Primary Image: https://example.com/dress-red-1.jpg
#   Additional Images: https://example.com/dress-red-1.jpg,https://example.com/dress-red-3.jpg
#
"Product Name","Product Slug","Brand Slugs (comma separated)","Category Slugs (comma separated)","Variant SKU","Variant Name",Price,"Sale Price","Is Active (0 or 1)","Attributes (color:label:code|variable:value format)","Discount Type","Discount Value","Discount Active",Barcode,"Low Stock Threshold","Highlights Details (structured format)","Detailed Description","Measurements (attribute_name:value:unit_symbol format)","Primary Image Path","Additional Image Paths (comma-separated)"
"Cotton Casual T-Shirt",cotton-casual-t-shirt,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-S,"Black - Small",599.00,499.00,1,"color:black:#000000|size:S|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-S-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in small size","chest size:26:in|collar:10:in|sleeve length:32:in","products/variants/tshirt-black-s-1.jpg","products/variants/tshirt-black-s-2.jpg,products/variants/tshirt-black-s-3.jpg"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-M,"Black - Medium",599.00,499.00,1,"color:black:#000000|size:M|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-M-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in medium size","chest size:28:in|collar:10.5:in|sleeve length:33:in"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-L,"Black - Large",599.00,499.00,1,"color:black:#000000|size:L|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-L-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in large size","chest size:30:in|collar:11:in|sleeve length:34:in"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-S,"White - Small",599.00,,1,"color:white:#FFFFFF|size:S|material:cotton|pattern:solid",,,,CTSHIRT-WHT-S-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in small size","chest size:26:in|collar:10:in|sleeve length:32:in"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-M,"White - Medium",599.00,,1,"color:white:#FFFFFF|size:M|material:cotton|pattern:solid",,,,CTSHIRT-WHT-M-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in medium size","chest size:28:in|collar:10.5:in|sleeve length:33:in"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-L,"White - Large",599.00,,1,"color:white:#FFFFFF|size:L|material:cotton|pattern:solid",,,,CTSHIRT-WHT-L-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in large size","chest size:30:in|collar:11:in|sleeve length:34:in"
"Denim Slim Fit Jeans",denim-slim-fit-jeans,other,"jeans slim-fit-jeans",JEANS-BLU-28,"Blue - 28",1899.00,1599.00,1,"color:blue:#0000FF|waist:28|material:denim|fit:slim","percentage",16,1,JEANS-BLU-28-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 28"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLU-30,"Blue - 30",1899.00,1599.00,1,"color:blue:#0000FF|waist:30|material:denim|fit:slim","percentage",16,1,JEANS-BLU-30-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 30"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLU-32,"Blue - 32",1899.00,1599.00,1,"color:blue:#0000FF|waist:32|material:denim|fit:slim","percentage",16,1,JEANS-BLU-32-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 32"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-28,"Black - 28",1999.00,,1,"color:black:#000000|waist:28|material:denim|fit:slim",,,,JEANS-BLK-28-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 28"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-30,"Black - 30",1999.00,,1,"color:black:#000000|waist:30|material:denim|fit:slim",,,,JEANS-BLK-30-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 30"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-32,"Black - 32",1999.00,,1,"color:black:#000000|waist:32|material:denim|fit:slim",,,,JEANS-BLK-32-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 32"
"Formal Cotton Shirt",formal-cotton-shirt,other,"shirts-1 formal-shirts",FSHIRT-WHT-S,"White - Small",1299.00,999.00,1,"color:white:#FFFFFF|size:S|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-S-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in small size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-WHT-M,"White - Medium",1299.00,999.00,1,"color:white:#FFFFFF|size:M|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-M-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in medium size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-WHT-L,"White - Large",1299.00,999.00,1,"color:white:#FFFFFF|size:L|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-L-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in large size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-S,"Blue - Small",1299.00,,1,"color:blue:#0000FF|size:S|material:cotton|style:formal",,,,FSHIRT-BLU-S-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in small size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-M,"Blue - Medium",1299.00,,1,"color:blue:#0000FF|size:M|material:cotton|style:formal",,,,FSHIRT-BLU-M-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in medium size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-L,"Blue - Large",1299.00,,1,"color:blue:#0000FF|size:L|material:cotton|style:formal",,,,FSHIRT-BLU-L-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in large size"
