# VARIANTS IMPORT TEMPLATE - USER GUIDE
#
# ATTRIBUTES FORMAT (Column 10):
# Use: attribute_name:value|attribute_name:value|attribute_name:value
# Example: color:black|size:S|material:cotton|pattern:solid|style:casual
# 
# HIGHLIGHTS DETAILS FORMAT (Column 16):
# Use: Heading1>>point1|point2|point3##Heading2>>point1|point2
# Example: Key Features>>Premium quality|Comfortable fit|Durable material##Care Instructions>>Machine wash cold|Do not bleach
#
# Symbols explained:
# >> separates heading from bullet points
# | separates individual bullet points  
# ## separates different sections/headings
#
# SAMPLE COMPLETE ROW:
# Cotton T-Shirt,cotton-t-shirt,other,t-shirts,TSHIRT-001,Red Medium,25.99,19.99,1,color:red|size:M|material:cotton,percentage,20,1,TSHIRT-001-BC,5,Key Features>>100% cotton|Comfortable fit|Machine washable##Size Guide>>True to size|Relaxed fit,Premium cotton t-shirt in red color
#
"Product Name","Product Slug","Brand Slugs (comma separated)","Category Slugs (comma separated)","Variant SKU","Variant Name",Price,"Sale Price","Is Active (0 or 1)","Attributes (key:value format)","Discount Type","Discount Value","Discount Active",Barcode,"Low Stock Threshold","Highlights Details (structured format)","Detailed Description"
"Cotton Casual T-Shirt",cotton-casual-t-shirt,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-S,"Black - Small",599.00,499.00,1,"color:black|size:S|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-S-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in small size"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-M,"Black - Medium",599.00,499.00,1,"color:black|size:M|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-M-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in medium size"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-BLK-L,"Black - Large",599.00,499.00,1,"color:black|size:L|material:cotton|pattern:solid","percentage",17,1,CTSHIRT-BLK-L-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","Black cotton t-shirt in large size"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-S,"White - Small",599.00,,1,"color:white|size:S|material:cotton|pattern:solid",,,,CTSHIRT-WHT-S-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in small size"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-M,"White - Medium",599.00,,1,"color:white|size:M|material:cotton|pattern:solid",,,,CTSHIRT-WHT-M-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in medium size"
"Cotton Casual T-Shirt",,other,"t-shirts plain-t-shirts",CTSHIRT-WHT-L,"White - Large",599.00,,1,"color:white|size:L|material:cotton|pattern:solid",,,,CTSHIRT-WHT-L-BC,5,"Material & Comfort>>100% premium cotton fabric|Soft and breathable material|Comfortable for all-day wear##Care Instructions>>Machine washable|Do not bleach|Tumble dry low","White cotton t-shirt in large size"
"Denim Slim Fit Jeans",denim-slim-fit-jeans,other,"jeans slim-fit-jeans",JEANS-BLU-28,"Blue - 28",1899.00,1599.00,1,"color:blue|waist:28|material:denim|fit:slim","percentage",16,1,JEANS-BLU-28-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 28"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLU-30,"Blue - 30",1899.00,1599.00,1,"color:blue|waist:30|material:denim|fit:slim","percentage",16,1,JEANS-BLU-30-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 30"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLU-32,"Blue - 32",1899.00,1599.00,1,"color:blue|waist:32|material:denim|fit:slim","percentage",16,1,JEANS-BLU-32-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Blue denim jeans waist size 32"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-28,"Black - 28",1999.00,,1,"color:black|waist:28|material:denim|fit:slim",,,,JEANS-BLK-28-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 28"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-30,"Black - 30",1999.00,,1,"color:black|waist:30|material:denim|fit:slim",,,,JEANS-BLK-30-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 30"
"Denim Slim Fit Jeans",,other,"jeans slim-fit-jeans",JEANS-BLK-32,"Black - 32",1999.00,,1,"color:black|waist:32|material:denim|fit:slim",,,,JEANS-BLK-32-BC,3,"Fit & Style>>Slim fit design|Premium denim quality|Modern trendy look##Care Instructions>>Machine wash cold|Do not bleach|Air dry recommended","Black denim jeans waist size 32"
"Formal Cotton Shirt",formal-cotton-shirt,other,"shirts-1 formal-shirts",FSHIRT-WHT-S,"White - Small",1299.00,999.00,1,"color:white|size:S|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-S-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in small size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-WHT-M,"White - Medium",1299.00,999.00,1,"color:white|size:M|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-M-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in medium size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-WHT-L,"White - Large",1299.00,999.00,1,"color:white|size:L|material:cotton|style:formal","percentage",23,1,FSHIRT-WHT-L-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","White formal shirt in large size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-S,"Blue - Small",1299.00,,1,"color:blue|size:S|material:cotton|style:formal",,,,FSHIRT-BLU-S-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in small size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-M,"Blue - Medium",1299.00,,1,"color:blue|size:M|material:cotton|style:formal",,,,FSHIRT-BLU-M-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in medium size"
"Formal Cotton Shirt",,other,"shirts-1 formal-shirts",FSHIRT-BLU-L,"Blue - Large",1299.00,,1,"color:blue|size:L|material:cotton|style:formal",,,,FSHIRT-BLU-L-BC,4,"Professional Features>>Premium cotton formal wear|Wrinkle-resistant fabric|Perfect for office wear##Care Instructions>>Machine wash warm|Iron on medium heat|Dry clean recommended","Blue formal shirt in large size"
"Designer Silk Saree",designer-silk-saree,sayuri-designer,"sarees designer-sarees",SAREE-RED-OS,"Red - One Size",4999.00,3999.00,1,"color:red|pattern:floral|material:silk|size:onesize","percentage",20,1,SAREE-RED-OS-BC,2,"Luxury Details>>Pure silk with gold border|Traditional craftsmanship|Elegant draping##Care Instructions>>Dry clean only|Store in cool dry place|Handle with care","Red silk saree with floral pattern"
"Designer Silk Saree",,sayuri-designer,"sarees designer-sarees",SAREE-GRN-OS,"Green - One Size",4999.00,3999.00,1,"color:green|pattern:paisley|material:silk|size:onesize","percentage",20,1,SAREE-GRN-OS-BC,2,"Luxury Details>>Pure silk with gold border|Traditional craftsmanship|Elegant draping##Care Instructions>>Dry clean only|Store in cool dry place|Handle with care","Green silk saree with paisley pattern"
"Designer Silk Saree",,sayuri-designer,"sarees designer-sarees",SAREE-BLU-OS,"Blue - One Size",5499.00,,1,"color:blue|pattern:geometric|material:silk|size:onesize",,,,SAREE-BLU-OS-BC,2,"Luxury Details>>Pure silk with gold border|Traditional craftsmanship|Elegant draping##Care Instructions>>Dry clean only|Store in cool dry place|Handle with care","Blue silk saree with geometric pattern"
"Sports Running Shoes",sports-running-shoes,other,footwear-1,SHOES-BLK-7,"Black - Size 7",2499.00,1999.00,1,"color:black|size:7|type:running|material:synthetic","percentage",20,1,SHOES-BLK-7-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","Black running shoes size 7"
"Sports Running Shoes",,other,footwear-1,SHOES-BLK-8,"Black - Size 8",2499.00,1999.00,1,"color:black|size:8|type:running|material:synthetic","percentage",20,1,SHOES-BLK-8-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","Black running shoes size 8"
"Sports Running Shoes",,other,footwear-1,SHOES-BLK-9,"Black - Size 9",2499.00,1999.00,1,"color:black|size:9|type:running|material:synthetic","percentage",20,1,SHOES-BLK-9-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","Black running shoes size 9"
"Sports Running Shoes",,other,footwear-1,SHOES-WHT-7,"White - Size 7",2499.00,,1,"color:white|size:7|type:running|material:synthetic",,,,SHOES-WHT-7-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","White running shoes size 7"
"Sports Running Shoes",,other,footwear-1,SHOES-WHT-8,"White - Size 8",2499.00,,1,"color:white|size:8|type:running|material:synthetic",,,,SHOES-WHT-8-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","White running shoes size 8"
"Sports Running Shoes",,other,footwear-1,SHOES-WHT-9,"White - Size 9",2499.00,,1,"color:white|size:9|type:running|material:synthetic",,,,SHOES-WHT-9-BC,3,"Performance Features>>Lightweight breathable design|Superior cushioning|Non-slip sole##Care Instructions>>Wipe with damp cloth|Air dry only|Do not machine wash","White running shoes size 9"
"Gold Plated Necklace",gold-plated-necklace,adorify,jewellery,NECKLACE-16,"16 Inch Chain",1999.00,1599.00,1,"length:16|style:classic|material:goldplated|type:necklace","percentage",20,1,NECKLACE-16-BC,5,"Jewelry Details>>24k gold plated premium quality|Elegant classic design|Hypoallergenic material##Care Instructions>>Store in jewelry box|Avoid water contact|Clean with soft cloth","16 inch gold plated necklace"
"Gold Plated Necklace",,adorify,jewellery,NECKLACE-18,"18 Inch Chain",2199.00,1799.00,1,"length:18|style:classic|material:goldplated|type:necklace","percentage",18,1,NECKLACE-18-BC,5,"Jewelry Details>>24k gold plated premium quality|Elegant classic design|Hypoallergenic material##Care Instructions>>Store in jewelry box|Avoid water contact|Clean with soft cloth","18 inch gold plated necklace"
